t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,is_drift
1092,0.0359,0.2077,0.3963,3004,1.092,0.0214002,0.0003735039505852,0.0358224207271488,0.2077133943038992,-2.824074074074071,0
1145,0.0517,0.3117,-1.0976,2998,1.145,-0.0367725999999999,-0.0006418029445188,0.0519000393161732,0.3116667545937161,-28.186792452830225,0
1200,0.0385,0.3734,-0.3354,2996,1.2,-0.0552195999999998,-0.0009637638316342,0.0388598514788394,0.3733627216836765,13.858181818181832,0
1254,0.0102,0.4175,0.4573,2982,1.254,-0.0305253999999998,-0.0005327687354882,0.0104224294889469,0.4174945065070292,14.679629629629616,0
1307,0.013,0.4609,0.2134,2994,1.307,-0.0192151999999998,-0.0003353685064292,0.0131545706106475,0.4608956142903179,-4.601886792452835,0
1361,0.0132,0.4899,0.8537,2990,1.361,0.0268846000000001,0.0004692247880816,0.0129701253316195,0.4899061398358691,11.857407407407395,0
1416,0.0168,0.5197,0.5183,2980,1.416,0.0553911000000001,0.0009667570713014,0.0162975685775061,0.5197159986554787,-6.098181818181826,0
1470,0.024,0.5403,0.6402,2980,1.47,0.0899619000000001,0.0015701313563498,0.0231516287929918,0.5403370171330404,2.2574074074074058,0
1523,0.0345,0.5534,0.5183,3184,1.523,0.1174318000000001,0.0020495715565434,0.0333656954319111,0.5534695478238572,-2.300000000000003,0
1577,0.098,0.5715,0.061,3734,1.577,0.1207258000000001,0.0021070627021041,0.0967955970109198,0.5717052233444258,-8.468518518518511,0
1632,-0.0585,0.5597,7.622,4002,1.632,0.5399357999999996,0.0094236574593895,-0.063771745477874,0.55912387221322,137.47272727272744,0
1685,-0.1273,0.5488,13.1402,4004,1.685,1.236366400000002,0.0215786644410292,-0.1391118152651553,0.5459254828762193,104.11698113207515,0
1739,-0.1583,0.5137,13.75,4004,1.739,1.9788664000000025,0.0345377341370871,-0.175944101862689,0.507927409203059,11.29259259259258,0
1794,-0.029,0.6351,7.9268,3928,1.794,2.414840400000002,0.0421469158901769,-0.0557338287426395,0.6333141008486121,-105.87636363636376,0
1848,0.0735,0.7207,-0.9146,3348,1.848,2.3654520000000017,0.0412849256978849,0.0436917762249002,0.7231194705512453,-163.7296296296295,0
1901,-0.046,0.6929,-3.9024,3112,1.901,2.158624800000002,0.0376751100752041,-0.0720662658974268,0.6906756571065765,-56.37358490566045,0
1955,0.0565,0.7616,-13.4146,3018,1.955,1.4342364000000014,0.0250321474319504,0.037419806684587,0.7627755686095932,-176.1518518518517,0
2010,-0.0366,0.6222,-15.061,2984,2.01,0.6058814000000057,0.0105746253065928,-0.0431773629065964,0.6217781882089721,-29.934545454545606,0
2063,-0.3985,0.517,0.8841,2982,2.063,0.652738700000006,0.0113924394701876,-0.4043639038860656,0.5124266613223991,300.85094339622424,0
2117,0.0494,0.5797,-5.2744,2994,2.117,0.3679211000000069,0.0064214345825594,0.045676501458641,0.5800052648161901,-114.04629629629666,0
2171,-0.1094,0.5888,-1.4024,2980,2.171,0.2921915000000071,0.0050997037213411,-0.1124012699573103,0.5882344383933874,71.70370370370394,0
2226,-0.1359,0.6357,-0.9756,2980,2.226,0.238533500000007,0.004163194951306,-0.1385453576647273,0.6351287144111443,7.759999999999978,0
2279,-0.0613,0.6498,0.6098,2992,2.279,0.2708529000000069,0.004727274893575,-0.0643710868467405,0.6495029585599819,29.913207547169847,0
2333,-0.0768,0.6602,0.3354,3012,2.333,0.288964500000007,0.0050433819463792,-0.0801286499168605,0.6598042736012713,-5.081481481481457,0
2387,-0.0725,0.6636,0.3049,3036,2.387,0.305429100000007,0.0053307434264031,-0.0760364344763024,0.6632040942516345,-0.5648148148148161,0
2442,-0.0465,0.6578,0.7927,3092,2.442,0.3490276000000071,0.0060916808003338,-0.0505062200757965,0.6575045336221305,8.869090909090882,0
2495,-0.0108,0.644,0.6098,3146,2.495,0.381347000000007,0.0066557607426029,-0.0150860390571253,0.6439138540407147,-3.4509433962264184,0
2549,0.0315,0.6752,1.0061,3192,2.549,0.4356764000000068,0.0076039876532359,0.026364926343117,0.6754200031527953,7.338888888888912,0
2604,-0.0236,0.6436,1.6768,3236,2.604,0.5279004000000072,0.0092136001025951,-0.0295287874281937,0.6433552445678985,12.19454545454542,0
2658,-0.0218,0.624,2.4695,3256,2.658,0.6612534000000068,0.0115410490200071,-0.0290000029004902,0.6237068540843299,14.679629629629677,0
2711,0.007,0.6022,2.2866,3266,2.711,0.7824432000000066,0.0136562100498406,-0.0012241667951992,0.6022394386086464,-3.4509433962264207,0
2765,-0.014,0.589,1.6768,3234,2.765,0.872990400000007,0.0152365568183024,-0.0229723596969582,0.588718328821138,-11.292592592592534,0
2820,0.0103,0.6053,-0.0305,3172,2.82,0.871312900000007,0.0152072789201002,0.0010941978847666,0.605386639042347,-31.041818181818343,0
