t,ax,ay,yawRate,steer,gas,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,x_world,y_world
1466.0,0.1105,0.0643,-0.1829,3418.0,2874.0,1.466,0.0,0.0,0.1105,0.0643,0.0,0.0,0.0
1646.0,0.0961,0.0811,0.4268,4004.0,2874.0,1.646,0.07682399999999998,0.0013408317445521233,0.09599117219239255,0.08122878099005576,3.3872222222222237,0.0031101139790335164,0.0026318125040778045
1826.0,0.039,0.1271,9.6951,3614.0,2886.0,1.826,1.8219420000000015,0.03179888668037056,0.03493932646070728,0.12827569320207208,51.49055555555551,0.007352262135393955,0.009419757467902756
2545.0,0.0389,0.0787,0.3659,2924.0,3144.0,2.545,2.0850241000000014,0.03639053552843152,0.03601094268636375,0.08006317509841479,-12.975243393602229,0.04291354021316342,0.07792336557989954
2707.0,0.0766,-0.1592,-8.2622,2516.0,3144.0,2.707,0.746547700000002,0.013029715388190907,0.07866776976349756,-0.15818843826410747,-53.2598765432099,0.05299051308578331,0.08920661718265191
2887.0,0.0833,-0.0479,0.7927,2738.0,3138.0,2.887,0.8892337000000021,0.015520055884691537,0.0840333487097153,-0.04660146247309617,50.30499999999996,0.06690983010911132,0.10023367602380401
3067.0,0.0662,-0.0536,0.0,2978.0,3160.0,3.067,0.8892337000000021,0.015520055884691537,0.06702386889228215,-0.052566158302753796,-4.4038888888888845,0.08300072048454928,0.10955759133594689
3248.0,0.0836,0.0442,0.122,3248.0,3296.0,3.248,0.9113157000000022,0.015905459490116926,0.08288643383902582,0.04552404952823064,0.6740331491712706,0.10189644715440664,0.12042471956419604
3428.0,0.098,-0.0072,0.3049,3262.0,3468.0,3.428,0.966197700000002,0.016863331090196453,0.0981074763347495,-0.0055464481631550535,1.0161111111111127,0.12386645977756588,0.13105210348948243
3608.0,0.0966,0.0191,-0.1524,3226.0,3686.0,3.608,0.938765700000002,0.016384552369789366,0.09627410303470944,0.02068011327005123,-2.5405555555555535,0.14895575333904978,0.1423495230847185
3787.0,0.095,0.0043,-0.122,3166.0,3920.0,3.787,0.916927700000002,0.016003407367738844,0.09491902336550531,0.005819708183290352,0.16983240223463708,0.1769469623639573,0.1537706485076596
3968.0,0.0176,0.1227,-0.7012,3044.0,4002.0,3.968,0.790010500000002,0.013788284350326696,0.01590655811580904,0.12293100263525224,-3.1999999999999993,0.20577203707812267,0.16934672684785534
4148.0,-1.0217,0.6502,18.6585,3034.0,4002.0,4.148,4.148540499999997,0.07240569087733176,-1.0660600515389502,0.5745841074314277,107.55388888888906,0.19989751156599425,0.2034532745873917
4328.0,-1.5835,0.6667,17.1341,3030.0,4002.0,4.328,7.232678500000008,0.12623405356320483,-1.6548370853555645,0.4620339391558803,-8.468888888888861,0.14040626448834514,0.2525297219555789
4508.0,-2.8364,0.3361,13.8415,4002.0,4002.0,4.508,9.724148500000004,0.16971840827786788,-2.852416555703944,-0.14781056371601814,-18.292222222222254,-0.01150327899411116,0.2968171070593668
4687.0,-2.9563,-1.8002,78.9634,4004.0,4002.0,4.687,23.858597100000026,0.41641107430177127,-1.9755273725238864,-2.842133235865073,363.8094972067033,-0.2258667531113701,0.24979366012444745
5228.0,-2.0978,-4.5354,279.7866,4004.0,4002.0,5.228,175.22314769999988,3.058220853073327,2.4682000361599363,4.344951850308596,371.2073937153424,-0.15135216591149103,1.3793573685363956
5407.0,-2.2701,-5.1893,318.6585,4004.0,4002.0,5.407,232.26301919999997,4.053754415662805,-2.71446064733793,4.9713068597757815,217.16145251396605,-0.21367165032841265,1.9123803569275868
5587.0,-2.9921,-5.6272,319.3903,4004.0,4002.0,5.587,289.7532731999999,5.057148635770645,-6.307318522232444,0.9142074759613086,4.0655555555556795,-0.48069640840989325,2.478001449597974
5768.0,-2.8936,-4.8882,280.0915,4002.0,4002.0,5.768,340.44983469999994,5.94197055338544,-4.362529115446986,-3.6380983929626396,-217.12044198895038,-0.8921254537207636,2.9275771402202375
5947.0,-3.2419,-4.0107,229.2378,4004.0,4002.0,5.947,381.4834009,6.658141387410499,-1.5478194847475861,-4.919337856118007,-284.09888268156385,-1.3486020058461792,3.214564639405428
6127.0,-3.3865,-3.7209,222.3476,4002.0,4002.0,6.127,421.5059688999999,7.3566669741138195,1.6545874484508243,-4.751401838976471,-38.27888888888891,-1.7540200729776831,3.349210001126133
6306.0,-3.8129,-5.2914,248.5671,3476.0,2872.0,6.306,465.99947979999996,8.133225235090807,6.137377776669018,-2.206742938461404,146.47765363128477,-1.9605380961717607,3.41240108256826
6487.0,-2.842,-5.0486,255.4878,3114.0,2884.0,6.487,512.2427716,8.940322933961301,4.86623302414332,3.14405822381472,38.23591160220984,-2.0099409232081813,3.5793007010834854
6666.0,-2.2176,-4.4449,175.5488,3006.0,2886.0,6.666,543.6660068,9.488761849829881,1.928854215740295,4.5775984079450325,-446.5865921787702,-1.9969954447265041,3.8910269555079524
6846.0,-1.7664,-3.9654,35.3659,2988.0,2872.0,6.846,550.0318688,9.599867101457471,1.048637050957557,4.212472724583393,-778.79388888889,-1.950001804684966,4.3409788136638054
7026.0,-1.5185,-3.1325,-0.4268,2982.0,2886.0,7.026,549.9550448,9.59852626971292,0.9541047253682098,3.3478474686027817,-198.84833333333367,-1.8720951715414982,4.899400929802388
7206.0,-1.2646,-2.5032,0.1524,3544.0,2886.0,7.206,549.9824768,9.599005048433327,0.8115328304890854,2.684518181171134,3.2177777777777674,-1.7678948746901832,5.5448014350109185
