t,ax,ay,yawRate,steer
1038,0.0148,0.1058,0.5793,2980,
1092,0.0487,0.1943,-0.0305,2990,
1146,0.0562,0.2780,0.8232,3160,
1201,0.0823,0.3632,0.3049,3328,
1254,0.0199,0.4031,5.4268,3446,
1308,-0.0640,0.4915,6.7378,3574,
1362,-0.1255,0.4942,6.8598,3662,
1417,-0.0841,0.4873,4.9390,3774,
1470,-0.1688,0.4866,7.1341,3834,
1524,-0.0699,0.5698,5.0915,3908,
1579,-0.0530,0.5200,4.3598,3964,
1632,-0.0626,0.5534,5.0610,4002,
1686,-0.0563,0.5414,2.9878,4002,
1740,-0.0503,0.5495,1.4024,4002,
1795,-0.0804,0.5516,1.0976,4004,
1848,-0.0629,0.5529,0.4573,4002,
1902,-0.0776,0.5630,0.6707,4004,
1956,-0.0736,0.5653,0.6707,4004,
2010,-0.0608,0.5705,0.4573,4004,
2064,-0.0539,0.5708,0.6707,4002,
2118,-0.0407,0.5754,0.5793,4002,
2172,-0.0398,0.5786,0.5183,4002,
2227,-0.0505,0.5797,0.4268,4002,
2280,-0.0495,0.5811,0.6402,4004,
2334,-0.0535,0.5827,0.8841,4002,
2388,-0.0461,0.5729,0.6098,4002,
2443,-0.0364,0.5752,0.6402,4002,
2496,-0.0320,0.5789,0.6402,4002,
2550,-0.0496,0.5962,0.9451,4002,
2605,-0.0583,0.5991,0.6098,4002,
2658,-0.0744,0.6081,0.5793,4002,
2712,-0.0864,0.6124,0.5793,4002,
2766,-0.0892,0.6092,0.5183,4004,
2821,-0.0752,0.6286,0.5793,4004,
2874,-1.1160,1.5965,24.5732,4002,
2928,-1.7581,2.1765,52.1951,4004,
2982,-1.8590,2.4231,86.7988,4004,
3037,-1.6332,2.5672,117.3781,4004,
3090,-2.2212,3.2264,126.9512,4004,
3144,-2.5009,2.9604,154.8171,4004,
3198,-2.8593,2.6398,168.1707,4002,
3252,-3.0866,2.0869,186.2195,4006,
3306,-2.3170,1.9401,202.4085,4002,
3360,-2.7266,1.7891,216.7073,4004,
3415,-2.4681,2.2022,232.8049,4002,
3468,-2.4954,1.7536,249.0549,4002,
3522,-2.3387,1.1127,261.8598,4002,
3576,-2.7425,1.0970,284.7256,4002,
3630,-2.5167,0.3921,298.5976,4014,
3684,-3.1305,-0.2892,307.6829,4002,
3738,-3.3065,-0.2337,321.7378,4004,
3792,-3.9706,-0.0113,318.3842,4004,
3846,-3.7238,0.3334,340.2439,4002,
