t,ax,ay,yawRate,steer
1044,0.0407,0.1111,0.7622,3452,
1098,0.1422,0.2057,0.0000,3316,
1152,0.0113,0.2632,12.7439,3056,
1206,0.1728,0.4682,-9.6341,2548,
1260,0.1588,0.2529,-2.8659,2116,
1314,0.1750,0.2536,-3.7195,1976,
1368,0.2616,0.3264,-11.8293,1974,
1422,0.3611,0.3914,-10.4573,2314,
1476,0.1390,0.4864,-6.2195,3072,
1529,-0.1211,0.5122,14.4817,3484,
1584,-0.0126,0.6027,19.2073,3624,
1638,0.1269,0.6043,-8.6585,3586,
1692,0.0455,0.5826,18.2012,3568,
1745,0.1278,0.6202,12.0732,3484,
1800,0.2249,0.6801,-2.1646,3264,
1854,0.2163,0.6537,1.4024,3034,
1908,0.2616,0.6714,-6.5549,2998,
1961,0.0580,0.5505,-3.3841,2992,
2016,0.2336,0.5678,0.5488,2978,
2070,0.1845,0.5251,0.9146,2978,
2124,0.1960,0.5680,0.9451,2992,
2178,0.1956,0.5976,0.5488,2992,
2232,0.1890,0.6035,0.4573,2980,
2286,0.1972,0.6073,0.6098,3108,
2339,0.1965,0.6180,1.0061,3288,
2394,0.1098,0.5940,5.7317,3344,
2448,0.1903,0.6419,1.0366,3364,
2502,0.2418,0.6423,-0.6402,3364,
2555,0.2528,0.6388,1.3110,3342,
2610,0.2597,0.6135,0.6098,3310,
2664,0.2729,0.6211,1.3110,3272,
2718,0.2892,0.6419,0.8537,3246,
2771,0.2333,0.5988,0.3354,3216,
2826,0.2934,0.6414,-0.7317,3212,
2880,0.2352,0.6452,0.1524,3204,
2933,0.2523,0.6421,0.6707,3162,
2988,0.2354,0.6258,-0.2134,3106,
3042,0.2472,0.6265,-0.5793,3088,
3096,0.1925,0.6066,1.7073,3080,
3149,0.2191,0.5992,0.5183,2990,
3204,0.8983,0.7202,-6.4024,2982,
3258,0.1421,0.6973,4.9695,2992,
3312,-0.0457,0.6757,6.0061,2990,
3365,-0.2200,1.5356,3.5976,2978,
3420,-0.5270,1.9702,1.5854,2980,
3474,-0.5499,1.8500,2.6829,2990,
3527,-0.2517,1.1482,-1.7073,2992,
3581,-0.0893,1.0134,2.2866,2980,
3636,0.0138,0.9280,1.0061,2992,
3689,0.1671,0.6433,-1.5549,2992,
3743,0.2137,0.5094,3.0183,2978,
3798,0.1230,0.3970,2.1951,2980,
3852,0.3086,0.3769,1.8902,2994,
3905,0.2527,0.3930,0.6098,2996,
3959,0.0532,0.8047,1.1890,2982,
4014,0.0474,0.6749,-8.5671,2996,
4068,-0.3936,1.5412,3.7195,2996,
4121,-0.8746,2.3664,0.7622,2982,
4175,-1.1077,2.9561,7.8354,2982,
4230,-1.0398,2.9036,0.5793,2994,
4283,-1.1541,3.0656,8.5366,3016,
4337,-1.2082,3.1697,5.6098,3090,
4391,-1.4258,2.8509,22.9878,3296,
4446,-1.6506,2.5374,31.4939,3482,
4499,-2.0081,2.5566,50.7927,3628,
4553,-2.0585,2.7439,56.5854,3712,
4608,-2.3229,2.6697,86.1585,3862,
4661,-2.8898,2.1673,97.8659,3942,
4715,-3.0569,2.2376,120.3049,3962,
4769,-3.2145,1.2887,160.5488,3970,
4824,-3.5279,0.3735,178.2927,3990,
4877,-4.4719,-0.7072,201.9207,3994,
4931,-3.9644,-1.0140,203.9329,4002,
4985,-4.3667,-0.4966,215.6402,4004,
5039,-4.4539,-0.8320,240.7622,4002,
5093,-5.0112,-0.9357,263.0183,4002,
5147,-5.1122,-0.2051,274.9695,4002,
5201,-4.3837,-0.2847,297.6524,4002,
5255,-4.8023,-0.4208,315.7622,3996,
5309,-5.0375,-0.0124,323.9024,3936,
5363,-4.8464,0.0743,332.9878,3868,
5416,-5.2519,0.2002,351.4329,3882,
5471,-5.0830,0.6251,361.7378,3874,
5525,-4.3691,1.0853,324.8476,3874,
5578,-3.6686,1.5865,264.2378,3874,
5633,-2.8458,1.9285,175.1524,3874,
5687,-2.4241,2.0269,81.0671,3856,
5740,-1.9063,2.2709,3.5061,3854,
5794,-1.5719,2.4200,-54.9085,3848,
5849,-1.4395,2.3244,-47.9878,3818,
5902,-1.3973,2.0094,-19.8780,3782,
5956,-1.1499,2.0236,-18.7195,3734,
6010,-1.0458,1.8779,-16.6463,3654,
6065,-0.9904,1.8677,-12.9268,3620,
6118,-1.0035,1.6120,-7.8354,3600,
6172,-1.0633,1.7124,-6.6768,3576,
6226,-1.0996,1.6931,-5.3963,3546,
6280,-1.0430,1.5317,4.6037,3544,
6334,-0.8004,1.3790,1.6463,3554,
6388,-0.6326,1.2325,2.3171,3544,
6443,-0.5061,1.0650,1.3110,3540,
6496,-0.4193,0.9578,0.9756,3540,
6550,-0.3483,0.8731,0.3659,3552,
6604,-0.2988,0.8378,0.2439,3540,
6658,-0.2716,0.8201,0.1220,3540,
6712,-0.2527,0.8160,-0.2134,3524,
6766,-0.2122,0.8329,-1.1280,3444,
6820,-0.2023,0.8320,-1.2805,3310,
6874,-0.2007,0.7987,-1.3415,3228,
6928,-0.1505,0.7998,-3.6585,3176,
6982,-0.2042,0.7543,-1.0061,3054,
7036,-0.0982,0.7921,-1.1280,2988,
7090,-0.0795,0.7563,-4.0549,2998,
7144,-0.0670,0.7391,0.5793,2932,
