t,ax,ay,yawRate,steer
0.1805,0.4916,0.7012,2992,
31979,0.1822,0.4895,0.6707,2978,
32033,0.1836,0.4883,0.6707,2980,
1043,0.0397,0.0939,0.5793,2992,
1097,0.0682,0.1718,0.8232,2992,
1152,0.0857,0.2442,0.5183,2978,
1205,0.1088,0.2883,0.5183,2978,
1259,0.1143,0.3288,0.7622,2992,
1313,0.1235,0.3588,0.6707,2992,
1368,0.1280,0.3814,0.6707,2980,
1421,0.1312,0.4042,0.7012,2992,
1475,0.1322,0.4254,0.3963,2992,
1529,0.1364,0.4365,0.6098,2978,
1583,0.1369,0.4440,0.7317,2980,
1637,0.1378,0.4524,0.5488,3218,
1691,-0.0521,0.3955,8.2012,3714,
1745,-0.0053,0.3805,7.1646,4004,
1799,-0.1306,0.3973,11.7988,4002,
1853,-0.1423,0.4452,12.7134,4002,
1907,-0.1287,0.5252,9.8780,3874,
1961,0.0196,0.6639,1.2195,3218,
2015,0.0018,0.5953,-2.5305,2992,
2069,0.0244,0.6146,-11.0671,2992,
2123,0.0272,0.5477,-13.7805,2980,
2177,-0.3537,0.2830,0.9146,2992,
2231,0.2558,0.2394,1.1280,2992,
2285,0.1428,0.2413,-0.1829,2978,
2339,0.2187,0.3319,-0.2134,2980,
2393,0.1663,0.3622,0.6098,2992,
2447,0.1398,0.3985,0.4573,2990,
2501,0.1472,0.4299,0.3049,2980,
2555,0.1484,0.4550,0.5183,2992,
2609,0.1417,0.4765,0.4268,2992,
2663,0.1301,0.4813,0.6098,2980,
2717,0.1352,0.4789,0.6098,2978,
2771,0.1436,0.4683,0.5793,2990,
2825,0.1455,0.4704,0.7317,2992,
2879,0.1710,0.4645,0.4573,2978,
2933,-0.0150,2.3516,-11.0671,2992,
2988,-0.3256,2.5215,4.9390,2992,
3041,-0.7393,2.7369,6.1890,2980,
3095,-0.5905,2.7507,1.6463,2980,
3149,-0.8435,3.6021,1.6463,2992,
3203,-0.7644,3.8921,12.9878,2992,
3257,-0.7977,3.6040,5.8841,2980,
3311,-1.0763,3.6235,2.2561,2992,
3365,-0.9937,3.6113,10.5793,2992,
3419,-0.9482,4.1043,9.7866,2980,
3473,-1.1402,3.8485,6.9512,2978,
3527,-0.8001,3.8445,2.1951,2992,
3581,-1.0418,3.8680,0.3049,2990,
3635,-0.6831,3.9161,7.4085,2980,
3689,-0.9439,3.4983,4.8780,2990,
3743,-1.0621,3.2861,8.6890,2992,
3796,-1.0000,3.2916,5.7012,2980,
3851,-0.8594,3.2854,10.7317,2980,
3905,-0.8604,3.1350,10.9756,2992,
3958,-0.6581,3.1554,12.5000,2838,
4013,-1.1485,2.7671,9.7561,2642,
4067,-0.1460,2.9630,-4.2683,2460,
4121,0.4392,2.9982,-47.4695,2304,
4174,0.0449,3.1973,-66.4939,2098,
4229,-0.1758,3.3828,-86.7988,1986,
4283,0.8559,2.8801,-105.3049,1982,
4337,1.7717,2.8792,-118.7805,1978,
4390,2.2524,2.8334,-142.2866,1974,
4445,2.3387,3.2249,-160.4573,1972,
4499,2.8990,2.7882,-190.3354,1972,
4552,3.5824,3.0767,-198.4756,1970,
4606,2.6591,2.1352,-223.6585,1972,
4661,2.3174,1.8226,-252.3171,1970,
4715,2.5535,2.2587,-259.8171,1972,
4768,2.5992,2.4036,-281.3720,1968,
4823,2.9561,2.1403,-286.1890,1968,
4877,3.1516,2.0934,-305.2744,1998,
4930,2.6223,2.3326,-309.6037,3334,
4984,2.3038,2.5398,-313.7500,3116,
5038,2.1409,2.5782,-308.9329,3096,
5092,1.5053,2.4361,-273.4756,3170,
5146,0.9179,2.5067,-187.8354,3252,
5199,0.1018,2.4890,-123.2317,3162,
5254,-0.4103,2.6956,-55.8841,2828,
5308,-0.4159,2.9839,-22.2256,2984,
5362,-0.7096,3.3232,3.2012,2990,
5415,-0.3646,3.4334,7.3476,3050,
