t,ax,ay,yawRate,steer
.0740,0.4596,0.4268,3238,
31763,-0.0657,0.3973,4.8476,3544,
31817,0.1423,0.3552,7.6829,3838,
680,0.4919,0.7317,3028,
31709,0.0740,0.4596,0.4268,3238,
31763,-0.0657,0.3973,4.8476,3544,
31817,0.1423,0.3552,7.6829,3838,
1037,0.0019,0.1135,0.6707,4004,
1090,0.0164,0.2095,1.8598,3952,
1144,-0.0606,0.2294,11.3415,3328,
1199,0.0511,0.3593,5.7317,3030,
1253,0.1812,0.4651,-13.4756,2978,
1306,-0.1443,0.3395,-9.9085,2990,
1360,-0.1264,0.4066,5.3963,2992,
1415,-0.2381,0.3684,-0.5183,2980,
1469,-0.0248,0.3905,1.3110,2980,
1522,-0.0237,0.4235,0.7622,2992,
1576,-0.0429,0.4532,0.5183,2992,
1631,-0.0209,0.4670,0.6402,2980,
1684,0.0005,0.4626,0.7012,2980,
1738,0.0248,0.4711,0.6402,2992,
1793,0.0467,0.4794,0.5793,2978,
1847,0.0579,0.4836,0.7317,2978,
1900,0.0665,0.4879,0.6098,2992,
1954,0.0647,0.4990,0.5183,2990,
2009,0.0690,0.4979,0.4573,2980,
2063,0.0762,0.4907,0.4878,2980,
2116,0.0864,0.4883,0.6098,2992,
2170,0.0835,0.4965,0.6707,2980,
2225,0.0763,0.4949,0.5793,2980,
2279,0.0769,0.4845,0.3354,2990,
2332,0.0720,0.4872,0.5183,2990,
2386,0.0619,0.4961,0.7317,2978,
2441,0.0481,0.5036,0.6402,2980,
2495,0.0433,0.5006,0.4268,2992,
2548,0.0413,0.5001,0.5793,2980,
2603,-0.7929,0.6893,-1.5549,2980,
2657,-0.3935,2.1072,2.5915,2992,
2711,-0.8248,2.2378,8.3841,2992,
2764,-1.0496,2.6053,-1.4939,2980,
2819,-1.2553,2.8767,5.3049,2980,
2873,-1.1991,3.2964,5.5793,2992,
2926,-1.3974,3.1432,3.6280,2992,
2980,-1.3042,3.5905,5.4268,2980,
3035,-1.3283,3.6051,6.8902,2990,
3089,-1.7795,3.2599,8.6280,2992,
3142,-1.9972,3.6269,9.8780,2978,
3196,-1.6902,3.3890,4.7561,2980,
3251,-1.8171,2.9923,1.5549,2992,
3304,-1.3694,3.1183,7.0732,2992,
3358,-1.2267,3.1373,17.4695,2980,
3412,-1.5488,2.9163,-1.2195,2992,
3466,-1.3884,2.4547,12.4695,2992,
3520,-1.0863,2.0294,6.5244,3022,
3573,-0.1633,0.6304,11.4634,3126,
3628,-0.1574,0.2055,17.5000,3392,
3682,0.1729,-0.5534,32.6220,3576,
3736,0.0013,-1.2821,47.9878,3684,
3789,-0.4620,-1.5294,70.5488,3786,
3844,-0.6100,-2.0237,84.0854,3876,
3898,-0.8346,-2.4526,100.5488,3934,
3951,-0.5183,-2.6933,110.0000,3958,
4005,-0.7197,-2.7517,122.1342,3978,
4060,-1.0876,-2.8617,122.5915,3986,
4114,-1.2398,-2.7093,110.2439,3982,
4168,-1.2681,-2.5366,88.1402,3980,
4221,-1.2414,-2.2788,77.5915,3960,
4276,-1.2498,-2.2209,76.5244,3888,
4330,-1.0975,-1.9166,67.1037,3656,
4383,-0.8048,-1.5237,54.0854,3414,
4438,-0.3718,-1.2075,33.9329,3210,
4492,-0.0566,-0.9708,17.2866,3158,
4545,0.0170,-0.9413,9.3902,3154,
4599,0.1136,-0.8450,8.3841,3324,
4654,0.1920,-0.7416,4.1768,3486,
4708,-0.1146,-0.8135,15.3354,3554,
4761,-0.0725,-0.7222,15.9146,3216,
4815,0.1187,-0.5600,12.2866,2992,
4870,0.4411,-0.3743,-0.2744,2806,
4924,0.2955,-0.3540,-4.4207,2734,
4977,0.2627,-0.4000,-0.3354,2660,
5031,0.2949,-0.2774,-3.1402,2540,
5086,0.5117,-0.1736,-6.4329,2514,
5140,0.2648,-0.0431,-4.6341,2610,
5193,0.1352,-0.0259,-1.5549,2888,
5248,0.2054,-0.1026,3.3841,2956,
