t,ax,ay,yawRate,steer
1048,-0.0800,0.2274,0.7012,3670,
1102,-0.3249,0.3409,2.4390,3836,
1157,-0.3744,0.5016,12.4085,3946,
1211,-0.4527,0.6422,12.1951,4002,
1264,-0.6035,0.7120,14.9390,4002,
1318,-0.4302,0.9311,9.5732,4002,
1373,-0.4174,0.9886,1.4634,3888,
1426,-0.4278,0.9815,1.7073,3616,
1480,-0.2402,1.1304,-3.6890,3322,
1534,-0.1888,1.1840,-11.9512,3170,
1589,-0.2626,1.1172,-10.8841,3048,
1642,-0.6037,0.9723,-3.5061,2998,
1696,-0.0879,1.1073,-2.5610,2996,
1751,-0.2834,1.0654,0.0305,2982,
1805,-0.2914,1.0773,-0.6707,2978,
1858,-0.2863,1.0912,0.2744,2990,
1912,-0.3162,1.1028,0.6402,2992,
1967,-0.3458,1.1193,0.6098,2980,
2020,-0.3695,1.1181,0.4878,2992,
2074,-0.3751,1.1052,0.7012,2992,
2128,-0.3624,1.0876,0.7012,2980,
2183,-0.3493,1.0789,0.6707,2978,
2236,-0.3431,1.0815,0.6402,2992,
2290,-0.3468,1.0845,0.7317,2990,
2344,-0.3459,1.0936,0.8232,2978,
2399,-0.3447,1.1071,0.5488,2992,
2452,-0.3337,1.1198,0.5793,2992,
2506,-0.3359,1.1200,0.7622,2978,
2561,-0.3463,1.1229,0.7012,2980,
2615,-0.3656,1.1196,0.5183,2992,
2668,-0.3725,1.0973,0.7622,2992,
2722,-0.3779,1.0933,0.4268,2980,
2777,-0.3857,1.0834,0.6402,2990,
2830,-0.3751,1.0793,0.4878,2992,
2884,-0.3738,1.0761,0.5183,2978,
2938,-0.3714,1.0711,0.5183,2980,
2993,-0.3646,1.0747,0.6707,2990,
3046,-0.3664,1.0786,0.5183,2992,
3100,-0.3597,1.0827,0.6098,2980,
3154,-0.3629,1.0922,0.5488,2980,
3209,-0.3636,1.1002,0.7927,2992,
3262,-0.3617,1.0995,0.6707,2980,
3316,-0.3650,1.0999,0.5488,2980,
3371,-0.3658,1.0915,0.5488,2990,
3424,-0.3716,1.0892,0.5793,2990,
3478,-0.3629,1.0873,0.4268,2980,
3532,-0.3545,1.0872,0.8537,2980,
3587,-0.3463,1.0857,0.7622,2990,
3640,-0.3465,1.0826,0.7012,2978,
3694,-0.3409,1.0835,0.5793,2978,
3748,-0.3383,1.0861,0.7927,2992,
3803,-0.3449,1.0978,0.7012,2992,
3856,-0.3583,1.0980,0.8537,2980,
3910,-0.3618,1.0920,0.4878,2980,
3964,-0.3632,1.0867,0.6098,2992,
4018,-0.3882,1.0786,0.3963,2988,
4072,-0.5232,0.9716,2.4695,2980,
4126,-0.6379,1.5190,0.2134,2992,
4180,-0.6870,1.6112,5.1524,2992,
4234,-0.8283,2.2998,6.3720,2978,
4288,-1.1496,2.5835,5.7317,2980,
4342,-0.9656,2.6246,6.0671,2990,
4396,-0.9688,2.8438,3.7805,2992,
4450,-1.0595,3.1255,7.3780,2980,
4504,-1.1636,3.1387,0.9756,2990,
4558,-1.0904,3.2651,5.2439,2990,
4612,-1.2142,2.9640,2.3780,3004,
4666,-1.1677,2.7490,4.9390,3024,
4720,-1.0811,2.4731,-1.0976,3038,
4773,-1.2566,2.4080,10.7012,3128,
4828,-1.3242,2.5944,15.2439,3278,
4882,-1.8461,2.1904,27.3171,3340,
4936,-2.3086,1.5819,53.3232,3372,
4989,-2.3794,1.4001,58.5366,3364,
5044,-2.7252,1.2115,69.9695,3364,
5098,-2.5637,1.0669,76.1281,3272,
5151,-2.6260,0.6141,71.6159,3096,
5206,-2.1396,0.2198,59.3902,2990,
5260,-1.3526,-0.1814,34.6951,3000,
