t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel
1041,-0.0306,0.1255,0.7317,2294,1.041,0.0,0.0,-0.0306,0.1255,0.0
1095,0.008,0.2699,-2.1951,1968,1.095,-0.11853540000000011,-0.0020688330101684884,0.008558360510854393,0.2698828717524812,-54.19999999999995
1149,0.0725,0.3658,-7.1341,1968,1.149,-0.5037768000000005,-0.008792563855160978,0.07571347597684723,0.36514840757629413,-91.46296296296288
1204,0.0652,0.408,-9.2073,1968,1.204,-1.0101782999999998,-0.01763093736719903,0.07238291632649142,0.40678711069068074,-37.6945454545455
1257,0.1259,0.46,-11.4634,2394,1.257,-1.6177384999999989,-0.02823486326127427,0.13883613059704258,0.45626235746644817,-42.56792452830194
1311,-0.3824,0.356,2.8049,3268,1.311,-1.4662738999999987,-0.02559130729105806,-0.3731652760904542,0.36566847925454976,264.22777777777753
1366,-0.6277,0.4802,15.3659,3876,1.366,-0.6211493999999962,-0.0108411021767872,-0.622457318437345,0.48697660798419246,228.38181818181752
1419,-0.562,0.4397,14.4512,4002,1.419,0.1447642000000029,0.002526611929015626,-0.5631091562453707,0.4382786421360579,-17.258490566037754
1473,-0.2571,0.6132,0.122,4002,1.473,0.1513522000000029,0.0026415942201370125,-0.2587189266679737,0.6125187074561655,-265.3555555555553
1527,-0.3829,0.606,14.5427,4004,1.527,0.9366580000000004,0.016347766065145056,-0.3927551412105365,0.5996597443990146,267.05000000000086
1581,0.1443,0.4426,8.1402,4002,1.581,1.3762288000000007,0.02401972382077055,0.13362826773980202,0.44593804060750386,-118.56481481481471
1635,-0.203,0.3608,17.9878,3766,1.635,2.3475700000000015,0.04097282592104331,-0.2176084881566649,0.3521820351496803,182.3629629629628
1689,-0.0547,0.5147,-1.2805,3304,1.689,2.2784230000000014,0.039765983103166785,-0.07511891382271613,0.5121184714361467,-356.82037037037003
1743,0.0587,0.5472,-0.3963,3018,1.743,2.2570228000000014,0.0393924791525815,0.037104471361255255,0.5490872318721332,16.37407407407406
1797,0.0585,0.6408,-18.6585,2980,1.797,1.2494638000000047,0.02180725719448001,0.04451310766621859,0.6419232611815027,-338.18888888889
1851,0.0185,0.4945,-16.8293,2990,1.851,0.3406816000000039,0.005946015620962382,0.015559385567471136,0.49460125911764796,33.874074074074045
1905,-0.26,0.4377,8.7805,2978,1.905,0.8148286000000043,0.014221441909415943,-0.26619822332121074,0.4339582882036369,474.25555555555513
1959,-0.0639,0.5719,-2.2256,2980,1.959,0.6946462000000042,0.012123863326467107,-0.07082877136627813,0.5710832733907932,-203.8166666666665
2013,-0.1253,0.6284,0.3659,2972,2.013,0.7144048000000042,0.012468715952051658,-0.13312539808158133,0.6267888626847326,47.9907407407409
2067,-0.1237,0.6344,0.8841,2990,2.067,0.7621462000000044,0.013301960571563284,-0.13212757121570512,0.6326984707778569,9.596296296296249
2121,-0.1598,0.6043,0.2439,2980,2.121,0.7753168000000044,0.013531830906026448,-0.1679624055595444,0.6020823534356833,-11.855555555555593
2176,-0.159,0.5873,0.3659,2980,2.176,0.7954413000000045,0.01388306969134405,-0.16713794236029644,0.5850360657460071,2.2181818181818116
2229,-0.1616,0.5795,0.5183,2992,2.229,0.8229112000000044,0.014362509891537638,-0.16990612106138453,0.5771193291043666,2.8754716981132105
2283,-0.1691,0.5771,0.6402,2990,2.283,0.8574820000000043,0.014965884176586092,-0.17771755239289974,0.5745047358999549,2.2574074074074146
2337,-0.1731,0.5661,0.4573,2978,2.337,0.8821762000000044,0.015396879272732077,-0.18179531150425218,0.5633678058915613,-3.3870370370370204
2392,-0.1753,0.5587,0.4268,2990,2.392,0.9056502000000043,0.015806577861345223,-0.18410886860282405,0.5558594287243747,-0.5545454545454569
