t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel
10051,-0.1776,-0.423,7.6829,3058,10.051,0.0,0.0,-0.1776,-0.423,0.0
10105,-0.2589,-0.281,8.2317,3054,10.105,0.44451180000000223,0.0077581944739665695,-0.25671217771991506,-0.2830001198061562,10.162962962962911
10160,-0.3833,-0.185,8.9024,3068,10.16,0.9341437999999997,0.0163038849970914,-0.3802329722650562,-0.19122441476569102,12.19454545454552
10213,-0.3828,-0.1701,4.4207,3066,10.213,1.1684408999999956,0.020393140819965735,-0.3792517704705738,-0.17787058383818047,-84.56037735849209
10267,-0.3718,-0.3429,7.4695,3032,10.267,1.5717938999999976,0.027432978717762457,-0.3622545177486251,-0.35296928247470916,56.45925925925898
10321,-0.3899,-0.3682,6.372,3044,10.321,1.9158818999999994,0.03343844723436474,-0.37737229892363094,-0.38102939257371443,-20.324074074073977
10376,-0.332,-0.3644,5.2134,3040,10.376,2.202618899999998,0.03844295197165569,-0.3177495438681791,-0.3768906835828715,-21.065454545454653
10429,-0.2805,-0.2394,3.2927,3028,10.429,2.3771320000000005,0.04148878015451785,-0.270329054915675,-0.2508282521336024,-36.23962264150887
10483,-0.0649,-0.1288,5.1524,3028,10.483,2.6553616000000018,0.04634480275102469,-0.058863241037097794,-0.13166840492163837,34.43888888888872
10537,-0.2827,0.0186,5.8841,3040,10.537,2.9731030000000036,0.05189043635092103,-0.2832842129652414,0.003912120226136441,13.549999999999933
10591,0.1133,1.4399,-5.7927,3038,10.591,2.6602972000000125,0.04643094522158631,0.046345995099701345,1.4436069232094375,-216.23703703704308
10645,-0.2599,1.8434,9.0854,3026,10.645,3.150908800000015,0.054993732990063764,-0.3608314465128737,1.8263275273639794,275.520370370369
10699,-0.6254,2.3668,7.7744,3036,10.699,3.570726400000017,0.06232093236788435,-0.7715916192632318,2.323254995277691,-24.277777777777654
10754,-0.6339,2.6466,8.5061,3036,10.754,4.038561900000015,0.07048620220059824,-0.818720296931702,2.595383949513456,13.303636363636432
10807,-0.7815,2.8547,9.1463,3024,10.807,4.523315800000022,0.0789467538174817,-1.004201145444478,2.7841757127537763,12.079245283018682
10861,-1.0217,3.0638,5.3963,3020,10.861,4.814716000000024,0.08403264674845172,-1.2752510849334793,2.967233728639519,-69.4444444444441
10915,-0.9912,3.1281,11.6159,3034,10.915,5.441974600000006,0.09498037457990152,-1.283394013625927,3.0199978238053635,115.17777777778099
10970,-1.336,2.9359,8.7195,3032,10.97,5.921547100000019,0.10335049370692224,-1.6317580603385637,2.782403716666604,-52.66181818181675
11023,-1.3441,3.3423,8.689,3042,11.023,6.382064100000011,0.11138803161832883,-1.7072931351668779,3.172179731763642,-0.5754716981132173
11077,-1.444,2.7758,18.2622,3076,11.077,7.368222900000015,0.12859974962584517,-1.7880601699532295,2.5676920509723957,177.2814814814806
11131,-1.25,2.1335,25.0,3182,11.131,8.718222900000022,0.15216169452776873,-1.558942855381976,1.9193799581254076,124.77407407407345
11185,-1.0584,1.5588,34.2073,3318,11.185,10.565417100000031,0.18440131524151154,-1.3262745982923794,1.338306276576624,170.50555555555465
11239,-1.406,0.6811,45.9146,3460,11.239,13.044805500000043,0.2276748062572659,-1.5234496469489334,0.34617103173311614,216.80185185185084
11293,-1.9115,0.1623,63.9024,3568,11.293,16.495535099999948,0.2879013993732912,-1.878909787502709,-0.38713247141840845,333.1074074074167
11346,-2.3303,-0.1766,81.1585,3654,11.346,20.796935600000015,0.3629750005452227,-2.1157654689916736,-0.9924828110463392,325.5867924528252
11401,-2.878,-0.7834,90.5183,3684,11.401,25.77544209999999,0.4498663308021613,-2.2509963638834605,-1.9569401957605757,170.17818181818257
11455,-3.1992,-1.2248,101.8293,3726,11.455,31.274224300000014,0.5458381850422191,-2.0984959830226084,-2.707642939761071,209.46296296296205
11509,-3.6186,-1.5004,108.3537,3744,11.509,37.12532410000004,0.6479591414150013,-1.979590061201985,-3.38033863830095,120.82222222222161
11563,-3.3244,-1.76,113.3842,3762,11.563,43.24807090000007,0.7548212323409486,-1.215594242534732,-3.5597143140308907,93.157407407407
11617,-3.4678,-2.3763,114.4207,3766,11.617,49.4267887000001,0.8626602015025296,-0.45054427416106524,-4.179646921334466,19.194444444444155
11671,-3.447,-2.3243,115.6707,3616,11.671,55.67300649999993,0.9716772679092032,-0.024332662424218388,-4.157353414317737,23.148148148148795
11725,-3.4361,-2.2995,106.9207,3210,11.725,61.44672429999996,1.0724476536002072,0.37744649884631043,-4.117282793361255,-162.0370370370362
11779,-3.1114,-1.9612,93.6281,2952,11.779,66.50264169999998,1.1606900589390787,0.5580379778050233,-3.6353416641805874,-246.1592592592579
11833,-2.3675,-1.3999,55.7012,2730,11.833,69.5105065,1.21318720315392,0.4826279568459523,-2.707738265651003,-702.3499999999965
11887,-1.5938,-1.0591,15.8537,2576,11.887,70.36660630000002,1.228128963389585,0.46200810102281,-1.856997513350327,-737.9166666666629
11940,-0.9963,-0.7037,-13.4756,2414,11.94,69.65239950000003,1.2156637031894526,0.31336121694666225,-1.178818106288543,-553.3830188679344
11995,-0.6429,-0.6386,-38.75,2332,11.995,67.52114950000004,1.1784663735063237,0.3442717238646033,-0.8382167679945888,-459.5345454545478
12049,0.0943,-0.3706,-57.5305,2274,12.049,64.41450250000003,1.1242451546591192,0.37498381443165407,-0.07499325912564944,-347.78703703703536
