t,ax,ay,yawRate,steer
1051,0.0163,0.1226,0.5488,3264
1105,-0.1426,0.1661,5.7012,3184
1160,0.1268,0.3536,1.3720,2616
1213,-0.0245,0.5017,-2.5305,2144
1267,0.0642,0.4967,-8.5976,1986
1321,-0.0368,0.5031,-8.2317,1980
1375,0.1080,0.5601,-10.9146,1976
1429,0.0400,0.6305,-9.8780,1972
1483,-0.0911,0.6571,-2.8049,1972
1538,-0.0207,0.6655,1.4634,1968
1591,0.0663,0.6349,-1.6159,1968
1645,0.0698,0.6343,1.3415,1968
1699,0.1521,0.6171,0.5488,1968
1754,0.1279,0.6555,0.9451,1968
1807,0.1775,0.6576,0.6402,1968
1861,0.1659,0.6788,1.0061,1968
1915,0.1960,0.6915,0.5488,1968
1970,0.1975,0.6930,0.6098,1968
2024,0.2178,0.6880,0.4573,1968
2077,0.1249,0.7529,0.3963,1972
2131,0.0157,2.0451,-24.2073,1974
2186,0.2663,3.0501,-43.2012,1974
2239,0.0938,3.1488,-68.9024,1974
2293,-0.0470,4.1940,-93.2012,1974
2348,0.0261,4.2229,-111.3110,1976
2402,0.2809,4.0544,-126.3415,1976
2455,0.5613,3.9929,-133.9939,1978
2509,1.1458,3.9480,-155.2134,1978
2564,1.5798,4.1616,-166.3415,1980
2617,1.9041,4.3497,-179.2683,1980
2671,2.6236,4.3239,-188.1402,1980
2725,2.5801,4.1319,-207.7439,1980
2780,3.5883,4.1847,-220.8232,1980
2833,3.4002,4.6306,-232.5610,1980
2887,4.1050,3.8701,-252.7134,1980
2941,3.5531,3.2096,-255.7622,1980
2995,3.7930,3.3568,-271.9512,1990
3049,3.9456,3.2385,-287.8354,1978
3103,3.8364,3.5863,-294.9085,1976
3158,3.8353,3.9258,-300.8842,1980
3211,3.6342,3.6143,-305.7927,2102
3265,3.4130,4.0717,-308.2622,2322
3318,3.5176,4.2084,-303.3537,2738
3373,2.7423,4.1142,-293.5671,3182
3426,2.2427,3.7687,-222.5305,3428
3480,4.5532,6.6312,76.8293,3564
3534,4.5160,7.0714,-21.5854,3598
