t,ax,ay,yawRate,steer
1048,0.0038,0.1168,0.4573,3060
1101,-0.0027,0.2319,0.4878,3394
1156,-0.0510,0.2602,3.0793,3742
1210,-0.1069,0.2608,9.5732,3906
1263,-0.1343,0.3202,11.4024,3996
1317,-0.1735,0.3644,11.1585,4004
1372,-0.0785,0.4931,5.5488,4002
1425,-0.0767,0.5357,0.8232,4002
1479,-0.1092,0.5009,1.3720,3902
1533,-0.0673,0.5563,-0.0610,3406
1588,-0.0380,0.6677,-7.4695,3108
1641,-0.0031,0.6659,-14.9695,3024
1695,0.0756,0.6208,-15.4573,3002
1750,-0.2503,0.5685,-0.0915,2986
1804,0.1665,0.6597,-2.1037,2982
1857,0.0226,0.6398,1.1890,3222
1911,0.0090,0.6143,2.1951,3448
1966,-0.0177,0.5757,7.3171,3576
2019,0.0059,0.5152,7.2256,3618
2073,0.0723,0.5520,3.3841,3620
2127,0.0846,0.5718,0.9146,3620
2182,0.0418,0.5848,1.0366,3618
2235,0.0234,0.5837,0.6402,3616
2289,0.0082,0.5814,0.5488,3628
2343,0.0056,0.5772,0.4878,3614
2398,0.0093,0.5858,0.6402,3594
2451,-0.0084,0.5773,0.9451,3592
2505,-0.0072,0.5787,0.5183,3590
2560,-0.0120,0.5707,0.4878,3568
2614,-0.0072,0.5782,0.3659,3568
2667,-0.0187,0.5799,0.6098,3580
2721,-0.0250,0.5774,0.6402,3568
2776,-0.0301,0.5811,0.5488,3568
2830,-0.0298,0.5923,0.6402,3568
2883,-0.0358,0.5816,0.6707,3568
2937,-0.0464,0.5802,0.5488,3568
2992,-0.0524,0.5728,0.6098,3568
3046,-0.0304,0.5775,0.6098,3580
3099,-1.5959,1.5403,16.4939,3568
3153,-1.7465,2.2757,27.6220,3570
3208,-2.2208,2.3276,46.0366,3570
3261,-2.4767,2.5492,53.4146,3570
3315,-2.3994,2.8544,63.5976,3570
3369,-2.4501,2.8763,84.3598,3568
3424,-2.8105,3.2578,95.9756,3580
3477,-3.1021,2.3864,89.7561,3566
3531,-3.0501,2.7744,107.0122,3562
3586,-3.4207,2.3330,104.1768,3562
3639,-3.3936,2.4070,116.2500,3574
3693,-3.2167,2.2776,116.1890,3560
3747,-3.9007,1.8613,127.3781,3562
3802,-4.6308,1.5144,133.3842,3574
3855,-4.5354,0.8467,141.4024,3560
3909,-4.9739,0.8612,151.7988,3540
3963,-5.2988,0.2317,170.4268,3540
4017,-4.9056,0.3094,170.3659,3556
4071,-5.5152,0.1086,163.6280,3584
4125,-5.5374,0.5313,175.6402,3666
4178,-5.4853,-0.2597,183.8719,3678
4233,-5.4230,-0.8140,203.1707,3580
4287,-4.8661,-1.2454,214.9695,3444
4340,-4.4440,-1.8161,229.8780,3058
4395,-4.3472,-2.0318,240.2134,2744
4449,-4.3517,-2.1335,245.4878,2430
4502,-4.4371,-2.1861,255.0610,2362
4556,-4.3991,-2.0554,258.5671,2412
4611,-3.8641,-1.7544,232.4085,2470
4665,-3.4695,-1.3054,182.2256,2748
4718,-3.1769,-1.0591,141.0061,2944
4772,-2.9595,-0.5950,102.5915,2992
4827,-2.3480,-0.1264,54.0854,3056
4880,-2.1734,-0.0872,-5.6402,3170
4934,-1.7186,0.4560,9.7866,3164
4988,-1.3710,0.6770,-4.8780,3004
5043,-1.1658,0.8753,-4.9085,2980
5097,-1.1673,0.9047,-0.9756,2990
5150,-1.0449,0.9220,-0.6707,2990
