t,ax,ay,yawRate,steer
1045,-0.1001,0.2064,0.7622,4002
1098,-0.1663,0.3744,0.7927,3876
1153,-0.4644,0.4489,10.7012,3384
1207,-0.3375,0.7144,14.0549,3132
1261,-0.2810,0.7784,-8.2622,2984
1314,-0.3632,0.6945,-4.3598,2994
1369,-0.3471,0.7443,-0.9146,2994
1423,-0.3863,0.8100,0.8841,2980
1476,-0.3775,0.8745,0.2744,2992
1530,-0.3825,0.8978,0.7317,2992
1585,-0.4109,0.9026,0.8537,2978
1639,-0.4359,0.9160,0.4268,2980
1692,-0.4627,0.9301,0.5793,2992
1746,-0.4765,0.9399,0.6098,2990
1801,-0.4659,0.9526,0.7012,2980
1854,-0.4628,0.9689,0.7622,2992
1908,-0.4473,0.9758,0.4573,2992
1963,-0.4287,0.9856,0.6402,2980
2017,-0.4215,0.9800,0.7317,2980
2070,-0.4224,0.9894,0.7927,2992
2124,-0.4328,0.9773,0.7622,2992
2179,-0.4391,0.9801,0.6402,2980
2233,-0.4518,0.9885,0.6098,2990
2286,-0.4635,0.9919,0.5183,2990
2340,-0.4637,0.9928,0.6098,2980
2395,-0.4576,1.0049,0.7012,2980
2449,-0.4504,1.0089,0.8537,2992
2502,-0.4388,1.0077,0.5183,2992
2556,-0.4368,1.0030,0.6098,2980
2611,-0.4246,0.9891,0.6402,2980
2665,-0.4273,0.9857,0.7012,2992
2718,-0.4309,0.9787,0.9451,2980
2772,-0.4376,0.9721,0.6707,2978
2827,-0.4516,0.9797,0.5488,2992
2880,-0.4594,0.9758,0.4878,2992
2934,-0.4763,0.9736,0.7317,2980
2989,-0.4825,0.9790,0.4878,2978
3043,-0.4847,0.9877,0.6098,2992
3096,-0.4801,0.9941,0.5793,2978
3150,-0.4770,0.9940,0.8537,2980
3205,-0.2629,0.7655,-1.0366,2992
3259,-0.8716,2.4517,-13.3841,2992
3312,-1.1933,2.7208,9.6951,2980
3366,-1.3751,3.0893,4.6646,2980
3421,-1.9701,3.4770,1.4634,2992
3474,-2.4576,3.6579,10.9451,2984
3528,-2.4110,4.4562,5.8537,2978
3582,-2.5484,4.2732,4.4207,2990
3637,-2.1579,4.5615,5.0000,2992
3690,-2.1171,4.4982,5.2744,3030
3744,-2.0504,4.7224,10.3659,3260
3799,-3.5006,4.2113,7.8049,3464
3852,-3.4445,3.8268,38.5061,3560
3906,-3.8134,3.0533,58.3232,3552
3960,-4.0424,3.2212,79.3598,3390
4014,-4.2907,2.5181,93.9634,3084
4068,-4.3098,1.8689,107.0732,2980
4121,-3.1816,1.4089,86.9207,2980
4175,-3.0093,0.3983,66.1890,2992
4230,-2.5535,-0.4312,58.3232,2992
4284,-2.4852,-0.8070,47.2561,2978
4337,-1.9963,-0.9985,37.8049,2992
4391,-1.7809,-1.2911,19.7866,2992
4446,-1.4650,-1.3709,10.1524,2978
4499,-1.3439,-1.2380,10.1524,2980
4553,-1.1096,-1.0842,10.1829,2992
4608,-0.8278,-0.8899,11.5854,2992
4662,-0.6417,-1.0251,6.6463,2980
4715,-0.3812,-1.0619,4.8171,3046
4769,-0.5266,-1.0458,3.5671,3350
4824,-0.6162,-0.9837,8.2012,3618
4877,-0.8463,-0.9742,18.4146,3744
4931,-0.9639,-0.8995,29.8780,3798
4985,-0.7874,-0.7761,33.7195,3832
5040,-0.6644,-0.6592,31.8902,3854
5093,-0.5057,-0.6298,25.1829,3876
5147,-0.3916,-0.4914,22.2866,3840
5201,-0.3985,-0.2950,20.0610,3256
5256,-0.2408,-0.1584,13.3232,2842
5309,0.2149,0.1175,2.1646,2366
5363,0.2160,0.3425,-8.2317,2162
5417,0.5142,-0.2206,-5.7317,1978
5471,0.5148,-0.2201,-8.6890,1974
5525,0.4209,-0.1339,-10.1829,1970
5579,0.1543,0.1193,-7.3476,1968
5634,-0.0676,0.3517,-2.9878,1968
5687,-0.1278,0.5179,2.8354,1972
5741,-0.1760,0.6044,0.1220,2012
5795,-0.2007,0.6904,0.5183,2038
5850,-0.2343,0.7697,0.8537,2080
5903,-0.2990,0.8260,2.4695,2120
5957,-0.2990,0.8815,2.2561,2130
6011,-0.2708,0.9231,1.5854,2162
6065,-0.3292,0.9458,1.5549,2182
6119,-0.2389,0.9874,1.2805,2200
6173,-0.2941,1.0002,2.0732,2238
6227,-0.2918,1.0046,2.1951,2274
6281,-0.3345,1.0125,2.1646,2294
6335,-0.3274,1.0159,2.0732,2306
6389,-0.3079,1.0310,1.4329,2320
6443,-0.3253,1.0336,1.5854,2342
6497,-0.3302,1.0328,1.6159,2344
6551,-0.2938,1.0422,1.1280,2350
6605,-0.3203,1.0612,0.5488,2350
6659,-0.3228,1.0596,0.5488,2352
6713,-0.3152,1.0527,0.5793,2342
6767,-0.3020,1.0586,0.7317,2358
6821,-0.3206,1.0475,0.9146,2362
6875,-0.2895,1.0607,0.4878,2364
6929,-0.2747,1.0611,0.7927,2354
6983,-0.2758,1.0543,0.6707,2366
7036,-0.2910,1.0474,0.5488,2372
7091,-0.3180,1.0237,0.8232,2388
7145,-0.3741,1.0172,1.0061,2398
7199,-0.3242,1.0240,1.9207,2404
7252,-0.3709,1.0198,0.7317,2418
7307,-0.4078,1.0141,1.4634,2410
7361,-0.3924,1.0215,0.5183,2446
